date,a,b,c,d,e,mb
6-2-09,9,13,26,30,35,33
6-5-09,5,20,38,41,52,20
6-9-09,5,17,31,36,56,46
6-12-09,6,11,20,32,44,38
6-16-09,9,15,21,26,45,25
6-19-09,4,9,12,16,46,44
6-23-09,12,14,16,31,50,9
6-26-09,11,15,17,29,46,16
6-30-09,7,34,49,54,55,34
7-3-09,5,6,7,11,25,31
7-7-09,25,27,35,38,39,28
7-10-09,5,10,26,27,28,4
7-14-09,20,29,35,45,53,41
7-17-09,8,17,40,47,50,13
7-21-09,3,8,21,50,52,2
7-24-09,3,6,43,51,52,36
7-28-09,4,17,24,25,48,34
7-31-09,17,35,44,52,56,22
8-4-09,1,28,34,42,50,27
8-7-09,7,18,35,45,56,3
8-11-09,6,12,15,32,42,40
8-14-09,8,22,25,33,35,46
8-18-09,4,5,26,37,56,25
8-21-09,9,38,44,48,49,13
8-25-09,3,12,19,22,40,2
8-28-09,1,17,31,37,54,31
9-1-09,2,9,28,51,53,19
9-4-09,2,4,6,21,44,37
9-8-09,4,10,18,28,50,35
9-11-09,16,27,48,49,54,2
9-15-09,29,30,32,35,41,39
9-18-09,18,27,31,36,52,33
9-22-09,26,29,33,39,46,24
9-25-09,7,27,42,49,52,19
9-29-09,2,21,25,45,50,21
10-2-09,15,24,51,53,55,11
10-6-09,9,33,51,53,56,39
10-9-09,3,14,21,24,51,14
10-13-09,17,31,34,45,51,24
10-16-09,10,13,18,33,51,43
10-20-09,13,17,25,45,55,8
10-23-09,27,45,48,54,56,2
10-27-09,7,13,37,46,51,2
10-30-09,4,15,17,29,38,20
11-3-09,5,18,23,31,38,20
11-6-09,7,11,27,40,46,8
11-10-09,8,21,29,34,37,15
11-13-09,27,43,45,49,54,44
11-17-09,8,22,27,49,50,28
11-20-09,3,4,7,16,56,39
11-24-09,10,11,35,37,50,12
11-27-09,12,25,37,39,45,11
12-1-09,17,30,39,52,53,21
12-4-09,4,33,41,51,56,38
12-8-09,20,23,28,30,46,29
12-11-09,2,21,27,34,44,45
12-15-09,27,31,32,36,47,35
12-18-09,10,20,30,44,49,24
12-22-09,3,33,35,39,45,13
12-29-09,2,5,29,35,51,3
1-1-10,6,8,27,40,41,21
1-5-10,13,28,39,50,55,10
1-8-10,18,20,31,36,43,33
1-12-10,5,9,31,37,56,16
1-15-10,4,7,19,21,38,29
1-19-10,4,5,34,38,41,18
1-22-10,8,13,27,28,52,9
1-26-10,7,8,38,39,48,22
1-29-10,1,10,22,23,38,19
2-2-10,6,7,26,27,49,9
2-5-10,10,20,45,51,53,41
2-9-10,2,17,20,26,48,12
2-12-10,14,16,17,33,47,23
2-16-10,11,12,21,29,45,5
2-19-10,1,22,39,42,46,36
2-23-10,4,16,36,40,53,18
2-26-10,4,14,29,54,56,40
3-2-10,9,12,47,48,56,25
3-5-10,11,31,34,44,52,32
3-9-10,14,16,18,19,29,16
3-12-10,2,15,25,48,53,41
3-16-10,3,22,48,52,56,13
3-19-10,10,31,45,50,54,25
3-23-10,3,25,28,29,40,13
3-26-10,23,41,46,47,52,22
3-30-10,1,11,24,38,44,41
4-2-10,2,17,22,30,31,19
4-6-10,16,43,44,52,56,26
4-9-10,15,18,39,48,53,3
4-13-10,3,12,27,39,47,32
4-16-10,10,16,31,48,50,44
4-20-10,5,8,10,34,42,25
4-23-10,19,26,28,37,52,18
4-27-10,23,37,41,50,55,6
4-30-10,14,20,41,47,53,40
5-4-10,9,21,31,36,43,8
5-7-10,2,7,20,34,50,40
5-11-10,26,33,43,46,54,9
5-14-10,20,21,40,47,56,12
5-18-10,11,13,19,37,40,26
5-21-10,15,20,23,26,30,17
5-25-10,5,14,17,19,24,25
5-28-10,3,11,20,29,39,26
6-1-10,12,27,44,45,51,30
6-4-10,12,13,15,17,50,23
6-8-10,12,18,28,48,54,6
6-11-10,6,13,33,34,42,25
6-15-10,4,12,13,21,27,46
6-18-10,11,36,37,41,55,7
6-22-10,12,17,21,23,30,24
6-25-10,1,2,13,19,27,21
6-29-10,3,4,15,27,37,35
7-2-10,1,10,12,32,36,25
7-6-10,8,18,45,47,50,36
7-9-10,1,31,33,34,50,41
7-13-10,7,11,14,15,34,14
7-16-10,2,15,18,20,39,34
7-20-10,12,18,28,36,43,19
7-23-10,16,19,39,44,49,26
7-27-10,2,7,10,16,29,8
7-30-10,11,30,40,48,52,42
8-3-10,4,13,20,22,56,32
8-6-10,7,13,30,33,54,30
8-10-10,2,14,26,50,56,12
8-13-10,6,17,24,43,55,36
8-17-10,11,19,40,43,44,33
8-20-10,4,13,20,29,48,36
8-24-10,4,23,24,28,32,31
8-27-10,4,10,26,32,41,31
8-31-10,10,20,29,47,48,38
9-3-10,10,13,20,28,36,9
9-7-10,8,18,22,24,38,23
9-10-10,11,12,17,21,23,20
9-14-10,6,14,50,55,56,1
9-17-10,3,4,14,18,27,13
9-21-10,3,20,43,47,52,26
9-24-10,2,28,38,42,55,25
9-28-10,2,10,13,36,38,18
10-1-10,3,8,21,28,52,43
10-5-10,10,19,24,37,44,27
10-8-10,24,29,37,48,50,19
10-12-10,10,31,36,37,43,15
10-15-10,9,10,13,31,50,10
10-19-10,2,9,14,37,42,41
10-22-10,2,7,18,32,53,18
10-26-10,15,21,30,31,32,26
10-29-10,4,19,26,28,39,14
11-2-10,1,3,12,16,54,46
11-5-10,19,25,34,46,53,15
11-9-10,8,26,28,33,53,11
11-12-10,9,26,28,35,38,10
11-16-10,1,26,27,39,46,21
11-19-10,7,14,31,51,54,35
11-23-10,2,6,12,34,35,33
11-26-10,5,9,34,43,47,8
11-30-10,11,16,19,47,53,2
12-3-10,6,11,12,18,56,12
12-7-10,4,38,45,53,54,9
12-10-10,23,27,33,44,46,36
12-14-10,18,22,25,31,38,29
12-17-10,11,20,26,46,53,12
12-21-10,8,11,12,31,32,29
12-24-10,15,16,27,40,52,16
12-28-10,6,18,36,40,49,7
12-31-10,10,12,13,35,56,9
1-4-11,4,8,15,25,47,42
1-7-11,4,22,42,46,53,20
1-11-11,1,4,11,16,45,37
1-14-11,2,15,17,33,35,8
1-18-11,4,27,29,38,45,5
1-21-11,5,9,21,35,38,20
1-25-11,5,8,31,46,50,4
1-28-11,14,33,48,49,50,18
2-1-11,16,22,23,26,35,31
2-4-11,6,20,29,48,55,6
2-8-11,25,35,36,47,48,18
2-11-11,8,9,17,32,34,13
2-15-11,17,18,24,35,39,18
2-18-11,5,6,7,30,45,42
2-22-11,15,22,23,48,55,31
2-25-11,4,5,17,19,50,7
3-1-11,1,12,19,20,47,25
3-4-11,8,10,15,23,41,7
3-8-11,3,17,19,41,55,24
3-11-11,14,19,21,42,45,6
3-15-11,10,11,12,28,43,45
3-18-11,14,33,34,54,56,37
3-22-11,1,14,35,50,53,43
3-25-11,22,24,31,52,54,4
3-29-11,6,15,23,34,38,43
4-1-11,13,14,35,36,53,19
4-5-11,1,19,20,31,36,9
4-8-11,6,40,45,50,56,11
4-12-11,10,23,39,41,45,15
4-15-11,22,23,33,39,48,29
4-19-11,20,24,32,45,51,43
4-22-11,3,18,46,51,53,17
4-26-11,19,29,32,38,55,15
4-29-11,9,10,11,33,51,29
5-3-11,1,16,29,36,50,16
5-6-11,6,18,26,37,41,9
5-10-11,11,16,34,40,51,34
5-13-11,3,33,39,47,53,9
5-17-11,1,2,17,25,48,45
5-20-11,10,17,19,45,48,30
5-24-11,9,12,21,42,43,42
5-27-11,5,7,14,28,56,10
5-31-11,28,30,31,37,55,13
6-3-11,20,23,41,49,53,31
6-7-11,29,32,35,47,52,13
6-10-11,18,21,27,37,38,7
6-14-11,9,10,20,51,53,24
6-17-11,12,29,46,47,51,24
6-21-11,11,24,25,31,46,17
6-24-11,10,14,40,49,51,4
6-28-11,12,17,27,47,48,33
7-1-11,12,17,30,35,47,26
7-5-11,1,10,13,18,46,19
7-8-11,1,2,22,37,50,45
7-12-11,3,9,11,44,49,9
7-15-11,16,29,30,46,56,6
7-19-11,2,9,10,16,35,40
7-22-11,23,31,32,39,56,38
7-26-11,20,25,35,52,55,10
7-29-11,8,10,22,47,48,35
8-2-11,14,17,19,20,32,28
8-5-11,6,24,28,33,42,19
8-9-11,11,19,39,45,54,15
8-12-11,9,43,51,54,55,13
8-16-11,4,38,41,42,43,44
8-19-11,5,15,53,54,56,22
8-23-11,11,21,44,48,49,23
8-26-11,2,3,27,30,47,36
8-30-11,2,22,25,28,50,18
9-2-11,25,44,48,49,55,20
9-6-11,1,36,38,42,49,19
9-9-11,7,12,19,23,31,45
9-13-11,22,31,43,48,56,45
9-16-11,6,23,41,45,56,24
9-20-11,6,29,38,50,51,39
9-23-11,27,31,32,40,52,36
9-27-11,2,20,28,36,45,37
9-30-11,3,19,21,44,45,29
10-4-11,3,26,40,45,52,11
10-7-11,5,15,19,23,38,19
10-11-11,25,34,38,44,56,27
10-14-11,13,35,42,45,54,26
10-18-11,24,25,45,47,53,42
10-21-11,6,21,35,37,38,17
10-25-11,13,33,40,44,46,8
10-28-11,13,31,49,52,56,41
11-1-11,27,31,39,40,46,36
11-4-11,26,30,32,33,44,1
11-8-11,5,31,45,47,54,4
11-11-11,2,16,22,29,50,27
11-15-11,3,6,24,30,33,21
11-18-11,4,13,33,39,55,3
11-22-11,4,16,23,33,48,38
11-25-11,22,28,42,49,54,43
11-29-11,17,29,43,48,52,36
12-2-11,24,30,48,51,56,45
12-6-11,7,21,29,35,49,39
12-9-11,4,12,29,49,51,44
12-13-11,5,6,22,26,41,6
12-16-11,2,4,26,36,39,27
12-20-11,20,24,27,45,51,31
12-23-11,3,5,8,18,29,14
12-27-11,23,32,33,39,43,8
12-30-11,4,24,45,46,52,1
1-3-12,2,3,15,22,36,23
1-6-12,9,17,28,34,48,46
1-10-12,4,10,16,38,48,34
1-13-12,10,27,28,37,51,19
1-17-12,3,15,31,36,53,27
1-20-12,1,9,28,38,47,8
1-24-12,10,22,24,36,49,33
1-27-12,3,5,30,36,48,23
1-31-12,9,17,18,28,43,9
2-3-12,7,19,21,49,53,35
2-7-12,17,23,30,37,45,4
2-10-12,3,4,18,29,50,20
2-14-12,3,5,10,26,27,27
2-17-12,16,25,28,32,40,3
2-21-12,9,30,39,42,47,37
2-24-12,1,16,18,25,27,3
2-28-12,6,15,29,39,51,36
3-2-12,16,29,48,52,54,5
3-6-12,20,24,31,33,36,44
3-9-12,9,10,27,36,42,11
3-13-12,2,8,30,36,48,31
3-16-12,28,29,43,51,53,7
3-20-12,1,4,6,11,14,30
3-23-12,6,17,19,20,21,20
3-27-12,9,19,34,44,51,24
3-30-12,2,4,23,38,46,23
4-3-12,11,35,38,41,52,40
4-6-12,2,19,20,24,33,39
4-10-12,2,6,12,31,48,25
4-13-12,9,14,17,36,42,33
4-17-12,1,16,24,32,48,2
4-20-12,14,23,26,33,35,40
4-24-12,3,9,15,37,38,39
4-27-12,2,5,45,46,47,37
5-1-12,24,27,31,45,52,38
5-4-12,4,11,21,42,53,38
5-8-12,2,6,8,18,51,19
5-11-12,3,15,29,35,54,8
5-15-12,10,11,12,14,24,6
5-18-12,3,11,22,34,49,1
5-22-12,10,14,35,43,52,16
5-25-12,9,15,21,40,54,11
5-29-12,2,14,29,53,55,31
6-1-12,2,27,38,46,52,45
6-5-12,37,39,42,53,55,22
6-8-12,4,9,34,40,48,25
6-12-12,2,9,17,34,50,45
6-15-12,8,12,18,30,40,4
6-19-12,11,21,27,30,53,11
6-22-12,10,16,19,32,36,13
6-26-12,3,16,23,35,36,20
6-29-12,28,34,39,45,53,34
7-3-12,3,4,24,36,52,45
7-6-12,20,23,28,35,39,21
7-10-12,3,11,19,23,36,21
7-13-12,6,7,13,24,46,34
7-17-12,1,13,21,49,55,17
7-20-12,2,44,48,50,52,3
7-24-12,5,9,38,46,51,5
7-27-12,2,3,4,8,43,26
7-31-12,5,18,21,29,41,37
8-3-12,2,10,13,38,46,2
8-7-12,30,32,33,42,48,7
8-10-12,10,18,36,38,44,8
8-14-12,15,23,34,39,55,32
8-17-12,8,20,24,35,56,24
8-21-12,5,13,20,23,33,30
8-24-12,25,34,45,46,49,34
8-28-12,4,9,40,45,50,39
8-31-12,31,40,41,47,48,45
9-4-12,16,32,39,41,53,16
9-7-12,15,32,38,42,46,31
9-11-12,5,11,20,33,36,11
9-14-12,16,17,21,40,51,20
9-18-12,5,9,22,36,49,36
9-21-12,3,13,14,46,55,34
9-25-12,7,8,23,50,51,26
9-28-12,6,8,14,43,56,28
10-2-12,10,11,20,42,55,9
10-5-12,8,9,16,32,39,15
10-9-12,6,15,16,22,37,3
10-12-12,6,10,24,26,42,15
10-16-12,13,37,40,46,52,29
10-19-12,14,34,36,48,53,42
10-23-12,1,17,42,46,55,1
10-26-12,4,15,24,36,40,44
10-30-12,5,12,18,29,56,38
11-2-12,4,18,22,38,44,24
11-6-12,3,5,13,32,35,6
11-9-12,18,22,33,35,40,11
11-13-12,6,12,31,46,56,34
11-16-12,5,24,26,29,53,36
11-20-12,9,13,22,38,52,44
11-23-12,8,37,44,47,48,27
11-27-12,5,12,26,42,49,24
11-30-12,11,22,24,28,31,46
12-4-12,3,19,24,32,43,44
12-7-12,7,43,44,51,56,4
12-11-12,39,44,51,52,54,13
12-14-12,11,28,33,41,43,41
12-18-12,1,6,7,18,29,16
12-21-12,3,18,32,41,56,19
12-25-12,2,3,18,34,48,36
12-28-12,10,13,32,40,41,32
1-1-13,4,11,21,25,44,29
1-4-13,1,2,23,25,55,39
1-8-13,3,20,21,38,42,19
1-11-13,24,29,30,34,56,1
1-15-13,1,6,12,19,41,14
1-18-13,8,18,25,42,49,14
1-22-13,7,11,16,39,54,13
1-25-13,11,12,17,31,48,1
1-29-13,8,12,27,46,47,6
2-1-13,1,30,32,40,41,17
2-5-13,2,5,10,26,44,46
2-8-13,6,15,20,39,50,5
2-12-13,9,22,32,38,55,44
2-15-13,11,35,41,42,44,42
2-19-13,1,15,19,30,56,28
2-22-13,9,13,24,38,49,30
2-26-13,6,7,13,15,43,7
3-1-13,17,30,38,43,51,20
3-5-13,6,20,39,41,46,42
3-8-13,4,11,25,34,35,44
3-12-13,9,12,19,20,30,39
3-15-13,4,8,17,22,32,8
3-19-13,3,6,14,21,37,35
3-22-13,14,27,34,37,41,38
3-26-13,20,33,46,49,51,46
3-29-13,25,31,36,46,53,21
4-2-13,7,10,14,40,47,34
4-5-13,8,15,23,36,41,5
4-9-13,17,30,41,48,54,13
4-12-13,1,10,13,19,21,28
4-16-13,2,5,15,18,39,42
4-19-13,6,8,12,22,43,28
4-23-13,9,21,22,32,50,10
4-26-13,17,42,49,54,55,31
4-30-13,21,30,34,39,49,43
5-3-13,2,20,34,42,54,39
5-7-13,1,6,13,20,51,31
5-10-13,1,19,20,39,49,28
5-14-13,6,10,12,28,32,38
5-17-13,11,15,35,43,49,41
5-21-13,2,15,17,48,55,11
5-24-13,4,5,16,18,53,28
5-28-13,4,12,25,32,54,36
5-31-13,2,20,26,44,46,26
6-4-13,10,11,12,20,55,19
6-7-13,1,10,37,48,55,21
6-11-13,15,40,45,50,53,28
6-14-13,2,5,31,33,34,20
6-18-13,6,17,34,40,48,30
6-21-13,3,14,17,40,50,3
6-25-13,3,5,28,33,51,16
6-28-13,8,15,35,46,52,38
7-2-13,36,42,51,52,53,40
7-5-13,2,23,41,47,54,42
7-9-13,3,21,43,45,48,14
7-12-13,4,5,25,27,51,10
7-16-13,10,14,21,40,53,20
7-19-13,16,20,24,39,42,46
7-23-13,25,32,35,50,51,46
7-26-13,4,22,23,27,38,42
7-30-13,25,27,36,42,44,39
8-2-13,8,21,23,25,39,4
8-6-13,1,11,16,51,55,41
8-9-13,11,20,30,34,38,12
8-13-13,2,31,32,37,41,40
8-16-13,7,13,26,36,46,37
8-20-13,13,28,35,38,41,33
8-23-13,1,9,17,20,53,14
8-27-13,4,7,30,36,38,38
8-30-13,6,19,24,43,44,33
9-3-13,4,13,14,28,41,28
9-6-13,2,16,17,22,41,31
9-10-13,2,12,18,54,56,1
9-13-13,9,22,28,48,54,8
9-17-13,6,15,27,31,39,25
9-20-13,1,15,20,21,47,34
9-24-13,4,11,32,39,40,33
9-27-13,9,23,27,49,51,38
10-1-13,7,10,30,37,53,1
10-4-13,4,16,24,25,44,5
10-8-13,6,15,19,23,40,5
10-11-13,3,27,37,45,48,46
10-15-13,4,23,30,43,50,11
10-22-13,2,3,19,52,71,14
10-25-13,6,16,45,54,60,15
10-29-13,20,33,50,53,54,7
11-1-13,32,35,49,62,67,1
11-5-13,2,11,42,64,74,2
11-8-13,41,42,51,57,65,7
11-12-13,20,30,32,42,71,15
11-15-13,25,44,49,54,63,8
11-19-13,14,15,29,49,63,2
11-22-13,17,23,35,36,44,8
11-26-13,27,44,59,74,75,3
11-29-13,9,41,43,47,57,5
12-3-13,7,12,41,44,59,3
12-6-13,11,29,44,63,64,3
12-10-13,5,12,22,41,65,13
12-13-13,19,24,26,27,70,12
12-17-13,8,14,17,20,39,7
12-20-13,3,4,31,49,57,6
12-24-13,23,34,53,58,73,2
12-27-13,4,15,35,48,49,11
12-31-13,8,12,34,52,58,8
1-3-14,22,24,25,40,70,5
1-7-14,13,34,56,62,64,6
1-10-14,8,28,36,37,57,8
1-14-14,4,23,26,62,69,13
1-17-14,1,10,26,31,51,11
1-21-14,8,23,33,45,52,4
1-24-14,22,45,46,47,65,10
1-28-14,7,16,28,53,60,2
1-31-14,3,9,13,47,52,8
2-4-14,25,44,49,60,73,9
2-7-14,11,21,23,35,64,10
2-11-14,43,64,67,71,73,4
2-14-14,20,28,35,71,72,7
2-18-14,23,29,31,37,70,14
2-21-14,23,29,32,45,46,15
2-25-14,12,18,25,35,66,15
2-28-14,3,31,50,58,59,6
3-4-14,10,29,31,35,45,10
3-7-14,11,13,51,57,69,1
3-11-14,9,14,56,57,69,10
3-14-14,7,20,40,54,69,12
3-18-14,11,19,24,33,51,7
3-21-14,2,23,30,35,53,10
3-25-14,19,26,51,57,73,15
3-28-14,2,3,9,50,73,12
4-1-14,10,23,68,74,75,9
4-4-14,1,10,15,41,54,9
4-8-14,35,36,41,60,71,3
4-11-14,3,42,44,47,57,8
4-15-14,4,39,46,47,70,13
4-18-14,18,25,38,45,63,9
4-22-14,2,18,19,49,50,1
4-25-14,3,11,18,20,66,9
4-29-14,7,43,59,61,66,3
5-2-14,1,18,26,35,40,13
5-6-14,18,20,27,48,51,5
5-9-14,10,28,39,51,59,14
5-13-14,37,46,48,70,74,1
5-16-14,13,14,16,50,56,11
5-20-14,10,40,63,64,69,7
5-23-14,12,14,21,38,70,15
5-27-14,1,6,10,46,58,13
5-30-14,10,13,42,43,62,2
6-3-14,19,28,62,66,74,6
6-6-14,12,29,37,49,72,9
6-10-14,2,10,24,26,74,7
6-13-14,7,38,46,49,56,1
6-17-14,10,14,24,47,60,3
6-20-14,1,22,25,29,56,3
6-24-14,13,17,24,47,65,10
6-27-14,15,29,31,46,64,10
7-1-14,9,22,38,47,49,15
7-4-14,16,33,39,58,69,2
7-8-14,14,25,27,48,49,9
7-11-14,9,13,30,35,69,10
7-15-14,2,4,17,36,40,5
7-18-14,5,8,59,65,72,3
7-22-14,14,18,22,31,47,15
7-25-14,22,29,33,41,68,12
7-29-14,2,8,16,43,74,1
8-1-14,13,29,34,37,72,6
8-5-14,25,28,36,45,53,6
8-8-14,9,16,61,70,75,7
8-12-14,32,53,60,63,68,6
8-15-14,16,19,28,29,68,9
8-19-14,22,39,56,67,71,15
8-22-14,5,31,34,41,74,3
8-26-14,29,31,51,60,64,1
8-29-14,3,26,45,58,73,12
9-2-14,1,8,54,69,72,1
9-5-14,7,12,20,24,59,7
9-9-14,25,34,55,70,71,1
9-12-14,18,28,33,36,42,7
9-16-14,25,45,51,53,73,2
9-19-14,16,25,27,29,34,2
9-23-14,21,24,25,40,43,12
9-26-14,17,26,35,46,62,9
9-30-14,3,16,52,54,61,6
10-3-14,3,20,34,58,67,6
10-7-14,16,29,46,48,55,2
10-10-14,2,32,35,50,59,3
10-14-14,11,37,46,64,68,15
10-17-14,21,31,43,56,60,12
10-21-14,5,35,37,41,66,11
10-24-14,2,14,21,28,55,3
10-28-14,3,50,57,58,60,11
10-31-14,11,29,36,58,67,15
11-4-14,9,15,24,39,41,1
11-7-14,31,35,41,65,66,5
11-11-14,23,25,28,30,75,11
11-14-14,3,49,61,62,68,15
11-18-14,37,39,53,68,75,6
11-21-14,3,12,35,37,63,15
11-25-14,10,11,29,47,56,4
11-28-14,8,26,29,36,47,10
12-2-14,13,18,22,49,62,11
12-5-14,4,5,11,51,59,5
12-9-14,27,45,49,51,52,14
12-12-14,2,31,46,58,65,7
12-16-14,41,58,68,72,73,1
12-19-14,14,18,58,59,68,4
12-23-14,4,10,31,56,66,7
12-26-14,2,5,10,20,38,14
12-30-14,3,7,44,63,67,12
1-2-15,13,15,35,62,74,12
1-6-15,12,20,27,38,75,4
1-9-15,37,49,50,56,57,8
1-13-15,12,20,25,50,51,7
1-16-15,26,32,44,45,58,11
1-20-15,31,35,56,59,63,6
1-23-15,14,15,32,68,72,8
1-27-15,5,26,27,44,57,7
1-30-15,18,31,39,45,55,6
2-3-15,11,22,25,58,69,13
2-6-15,5,6,17,33,68,13
2-10-15,7,42,53,58,71,15
2-13-15,4,20,44,65,74,14
2-17-15,6,45,50,65,66,1
2-20-15,2,6,8,52,66,13
2-24-15,15,23,26,45,66,4
2-27-15,7,49,53,60,64,4
3-3-15,9,11,42,44,50,3
3-6-15,30,48,55,68,73,5
3-10-15,10,14,19,30,73,14
3-13-15,8,22,30,42,45,3
3-17-15,11,27,44,45,58,3
3-20-15,7,50,54,61,75,7
3-24-15,2,23,32,45,55,12
3-27-15,17,21,36,58,70,3
3-31-15,8,26,41,61,73,11
4-3-15,10,36,47,63,74,2
4-7-15,5,15,22,26,64,6
4-10-15,6,11,32,46,68,9
4-14-15,3,7,25,68,71,3
4-17-15,15,18,29,41,50,5
4-21-15,31,33,35,41,69,11
4-24-15,24,25,29,47,67,4
4-28-15,22,27,55,58,63,11
5-1-15,17,18,61,66,74,3
5-5-15,11,21,42,62,71,7
5-8-15,9,21,25,66,72,7
5-12-15,14,30,33,36,44,2
5-15-15,11,17,21,36,74,15
5-19-15,10,12,21,29,65,10
5-22-15,3,14,15,25,48,8
5-26-15,1,39,52,69,72,12
5-29-15,20,27,38,49,66,2
6-2-15,2,9,11,22,23,12
6-5-15,7,22,27,41,49,10
6-9-15,6,16,17,25,36,7
6-12-15,1,40,42,56,62,2
6-16-15,8,19,26,56,67,14
6-19-15,4,35,36,52,68,8
6-23-15,6,13,38,56,70,2
6-26-15,12,23,33,47,50,3
6-30-15,11,17,34,43,50,15
7-3-15,33,50,64,71,72,9
7-7-15,6,15,16,28,49,14
7-10-15,24,27,45,51,54,8
7-14-15,19,24,30,35,72,5
7-17-15,6,17,30,31,41,15
7-21-15,20,30,62,65,74,1
7-24-15,10,12,26,60,62,13
7-28-15,8,35,61,68,75,15
7-31-15,28,32,33,40,46,10
8-4-15,2,19,44,51,57,14
8-7-15,1,38,53,63,66,10
8-11-15,3,8,29,57,68,8
8-14-15,12,15,20,52,71,3
8-18-15,2,7,33,39,53,9
8-21-15,13,15,21,41,72,1
8-25-15,5,44,54,59,63,1
8-28-15,13,35,40,60,68,9
9-1-15,2,5,35,40,54,13
9-4-15,17,21,39,52,57,5
9-8-15,19,20,36,41,46,7
9-11-15,5,11,31,50,67,14
9-15-15,7,20,35,49,56,9
9-18-15,17,34,35,51,65,7
9-22-15,28,30,38,45,51,8
9-25-15,3,8,38,51,64,4
9-29-15,8,21,30,61,62,9
10-2-15,4,14,29,31,47,9
10-6-15,17,58,63,64,66,13
10-9-15,8,9,21,63,75,14
10-13-15,7,9,24,38,52,1
10-16-15,2,38,48,61,68,4
10-20-15,6,25,35,38,52,4
10-23-15,25,32,37,45,70,1
10-27-15,9,26,27,29,74,4
10-30-15,17,41,51,53,56,15
11-3-15,16,29,44,69,74,12
11-6-15,10,31,35,50,72,8
11-10-15,8,17,20,45,71,4
11-13-15,17,18,31,35,59,9
11-17-15,12,14,18,24,61,10
11-20-15,9,12,29,37,67,15
11-24-15,2,19,30,38,70,8
11-27-15,16,20,39,56,59,12
12-1-15,5,7,25,50,59,12
12-4-15,26,42,47,61,73,6
12-8-15,7,17,37,49,73,15
12-11-15,14,20,43,54,69,5
12-15-15,18,25,47,51,61,5
12-18-15,6,23,24,28,62,7
12-22-15,11,21,40,50,70,15
12-25-15,15,25,29,44,51,4
12-29-15,20,25,55,62,74,7
1-1-16,7,18,37,38,39,9
1-5-16,1,4,36,48,57,13
1-8-16,11,39,51,57,75,2
1-12-16,15,27,29,31,48,15
1-15-16,29,41,53,54,70,12
1-19-16,2,17,31,39,47,9
1-22-16,21,25,40,46,56,3
1-26-16,14,27,39,50,69,2
1-29-16,20,28,49,51,52,6
2-2-16,7,13,25,51,70,9
2-5-16,4,6,23,55,75,2
2-9-16,3,42,46,56,71,13
2-12-16,1,7,44,68,73,1
2-16-16,9,31,33,46,64,4
2-19-16,2,27,41,50,75,4
2-23-16,16,32,39,53,57,10
2-26-16,3,15,19,62,74,14
3-1-16,1,29,33,34,55,6
3-4-16,21,26,33,48,73,14
3-8-16,27,37,54,66,69,5
3-11-16,14,18,48,54,71,13
3-15-16,18,26,30,44,68,7
3-18-16,5,8,57,59,73,13
3-22-16,6,19,34,38,70,5
3-25-16,4,11,12,35,46,12
3-29-16,33,38,40,46,49,15
4-1-16,25,28,33,41,69,6
4-5-16,13,45,52,53,57,10
4-8-16,31,38,52,65,71,15
4-12-16,7,11,59,62,63,3
4-15-16,9,10,34,37,73,9
4-19-16,9,28,40,57,65,2
4-22-16,2,19,21,42,60,13
4-26-16,14,16,17,28,48,2
4-29-16,5,6,37,55,74,10
5-3-16,28,29,33,36,45,15
5-6-16,14,26,27,32,36,7
5-10-16,12,22,46,56,74,4
5-13-16,20,21,38,54,66,7
5-17-16,17,24,27,48,75,6
5-20-16,19,24,26,40,68,8
5-24-16,11,50,51,70,75,15
5-27-16,18,41,50,68,70,9
5-31-16,9,31,34,41,49,8
6-3-16,32,54,65,66,71,10
6-7-16,25,48,51,65,72,4
6-10-16,34,61,66,67,68,7
6-14-16,36,37,38,52,62,6
6-17-16,20,23,30,44,59,9
6-21-16,6,13,21,49,50,10
6-24-16,11,14,54,57,63,11
6-28-16,15,17,20,35,55,7
7-1-16,20,41,42,45,49,14
7-5-16,29,46,53,64,73,10
