date,a,b,c,d,e,mb
7-8-16,8,19,20,55,73,5
7-12-16,6,8,22,46,68,4
7-15-16,16,51,52,56,58,4
7-19-16,3,34,54,65,66,4
7-22-16,8,24,25,26,30,7
7-26-16,1,4,31,36,54,9
7-29-16,11,16,19,31,48,4
8-2-16,3,12,36,54,70,12
8-5-16,5,18,28,54,74,6
8-9-16,12,19,20,44,66,1
8-12-16,4,41,44,56,69,10
8-16-16,2,43,52,62,63,6
8-19-16,22,37,45,65,73,13
8-23-16,2,7,46,61,66,1
8-26-16,10,11,31,41,44,14
8-30-16,28,32,41,51,71,11
9-2-16,22,28,41,46,60,3
9-6-16,25,37,58,69,75,8
9-9-16,1,34,43,44,63,11
9-13-16,6,15,17,39,56,15
9-16-16,13,21,28,34,40,15
9-20-16,2,22,34,62,72,2
9-23-16,1,5,8,25,62,14
9-27-16,14,16,26,53,72,4
9-30-16,21,30,47,50,57,9
10-4-16,18,29,30,54,66,1
10-7-16,24,37,42,50,65,14
10-11-16,36,39,42,45,48,3
10-14-16,7,27,60,64,74,5
10-18-16,7,24,28,65,74,1
10-21-16,12,43,44,48,66,3
10-25-16,8,9,24,49,67,13
10-28-16,7,38,46,57,66,2
11-1-16,19,24,31,39,45,13
11-4-16,10,29,32,44,46,10
11-8-16,46,48,53,61,74,12
11-11-16,16,40,47,53,59,11
11-15-16,9,17,23,57,71,6
11-18-16,31,32,49,55,58,15
11-22-16,1,43,45,66,69,7
11-25-16,44,47,49,69,75,10
11-29-16,22,33,49,51,59,8
12-2-16,3,33,35,49,51,1
12-6-16,13,34,48,53,63,12
12-9-16,19,27,47,67,68,1
12-13-16,2,15,26,34,41,14
12-16-16,1,8,15,36,43,6
12-20-16,1,12,14,48,65,2
12-23-16,21,30,39,60,69,15
12-27-16,2,28,30,38,39,11
12-30-16,6,21,33,39,43,2
1-3-17,14,16,23,49,53,12
1-6-17,6,10,44,47,54,6
1-10-17,11,20,40,41,59,15
1-13-17,10,44,58,74,75,11
1-17-17,20,31,54,56,59,3
1-20-17,7,9,24,41,53,14
1-24-17,8,42,54,63,67,11
1-27-17,17,37,53,54,61,8
1-31-17,3,14,27,62,72,4
2-3-17,3,6,29,30,64,3
2-7-17,23,28,37,56,71,12
2-10-17,32,39,51,62,75,14
2-14-17,7,11,33,60,68,15
2-17-17,4,56,58,67,75,8
2-21-17,9,21,30,32,75,9
2-24-17,12,29,33,42,68,14
2-28-17,20,33,45,58,69,4
3-3-17,14,26,39,48,51,9
3-7-17,3,30,45,53,68,11
3-10-17,26,38,42,58,70,5
3-14-17,16,23,28,33,59,13
3-17-17,11,27,31,58,60,10
3-21-17,4,45,53,73,75,7
3-24-17,5,28,37,61,69,1
3-28-17,30,33,35,37,46,10
3-31-17,17,24,27,32,58,10
4-4-17,13,24,34,35,55,9
4-7-17,30,33,43,47,69,15
4-11-17,19,34,35,38,49,8
4-14-17,5,10,55,60,73,12
4-18-17,8,29,30,43,64,6
4-21-17,1,12,13,32,34,10
4-25-17,3,13,33,40,50,2
4-28-17,6,13,18,20,31,13
5-2-17,5,14,42,43,58,1
5-5-17,4,23,33,47,53,7
5-9-17,6,29,45,69,73,11
5-12-17,28,34,41,42,47,13
5-16-17,4,35,39,56,72,11
5-19-17,1,4,5,24,30,1
5-23-17,6,13,17,33,60,14
5-26-17,25,26,28,37,56,5
5-30-17,5,20,32,37,67,5
6-2-17,7,42,57,69,72,10
6-6-17,3,5,16,49,75,5
6-9-17,3,16,28,33,37,9
6-13-17,27,51,62,68,75,8
6-16-17,18,22,26,30,44,9
6-20-17,2,15,41,49,63,3
6-23-17,12,20,53,66,74,11
6-27-17,4,21,45,52,57,14
6-30-17,10,38,51,55,64,6
7-4-17,16,39,47,53,71,15
7-7-17,2,9,11,28,60,10
7-11-17,7,18,24,55,74,10
7-14-17,11,12,24,32,73,1
7-18-17,8,12,23,51,73,6
7-21-17,18,31,36,50,74,10
7-25-17,2,5,26,58,60,6
7-28-17,4,6,31,49,52,11
8-1-17,20,22,52,57,73,7
8-4-17,9,17,25,63,71,4
8-8-17,11,17,50,52,74,14
8-11-17,23,33,53,56,58,6
8-15-17,7,16,20,66,73,7
8-18-17,1,31,34,40,75,6
8-22-17,24,35,46,50,51,7
8-25-17,17,38,42,51,65,11
8-29-17,2,13,17,35,73,3
9-1-17,4,13,31,50,64,12
9-5-17,11,17,59,70,72,1
9-8-17,4,5,14,26,73,14
9-12-17,26,37,41,54,65,3
9-15-17,18,24,34,38,58,3
9-19-17,9,28,31,50,61,10
9-22-17,5,39,54,63,66,15
9-26-17,1,10,57,66,75,4
9-29-17,25,51,62,73,74,7
10-3-17,12,18,19,25,67,7
10-6-17,21,33,36,45,56,12
10-10-17,7,16,24,61,62,2
10-13-17,2,7,18,26,31,12
10-17-17,31,45,49,56,70,11
10-20-17,6,23,63,66,73,9
10-24-17,20,24,34,56,64,6
10-27-17,17,27,41,51,52,13
10-31-17,6,28,31,52,53,12
11-3-17,10,22,42,61,69,3
11-7-17,1,54,60,68,69,11
11-10-17,6,23,38,42,58,24
11-14-17,1,14,21,22,28,19
11-17-17,3,26,55,58,70,15
11-21-17,3,7,22,27,50,3
11-24-17,16,36,54,61,64,22
11-28-17,10,17,47,51,61,5
12-1-17,16,22,40,41,59,8
12-5-17,14,15,37,42,67,22
12-8-17,6,37,46,60,70,24
12-12-17,8,23,24,25,27,9
12-15-17,4,12,36,44,57,19
12-19-17,28,37,39,42,58,2
12-22-17,1,20,30,33,42,16
12-26-17,10,12,20,38,41,25
12-29-17,4,10,18,28,62,7
1-2-18,1,42,47,64,70,22
1-5-18,28,30,39,59,70,10
1-9-18,16,29,31,65,67,23
1-12-18,17,18,33,46,60,24
1-16-18,3,11,23,29,59,18
1-19-18,3,17,23,49,66,23
1-23-18,2,6,30,31,55,7
1-26-18,10,16,27,38,43,1
1-30-18,29,41,42,49,57,24
2-2-18,1,4,14,17,40,4
2-6-18,14,17,25,48,58,25
2-9-18,28,34,41,46,47,14
2-13-18,5,12,15,46,49,1
2-16-18,14,38,48,53,58,16
2-20-18,17,19,23,24,43,14
2-23-18,7,11,13,19,58,9
2-27-18,10,17,21,38,43,23
3-2-18,24,28,42,60,64,8
3-6-18,1,4,26,35,39,22
3-9-18,7,17,18,46,66,22
3-13-18,6,30,58,60,61,17
3-16-18,1,13,26,33,52,11
3-20-18,14,38,51,64,70,9
3-23-18,4,8,23,53,59,17
3-27-18,7,25,43,56,59,13
3-30-18,11,28,31,46,59,1
4-3-18,4,29,39,42,62,14
4-6-18,16,33,51,54,67,20
4-10-18,5,13,31,43,53,20
4-13-18,8,9,32,42,59,10
4-17-18,12,34,44,47,65,22
4-20-18,1,15,18,32,45,4
4-24-18,3,19,31,32,48,10
4-27-18,2,29,38,63,66,11
5-1-18,2,7,20,55,70,1
5-4-18,4,5,10,12,18,21
5-8-18,8,15,39,64,67,13
5-11-18,14,38,40,53,70,22
5-15-18,21,34,44,49,61,21
5-18-18,9,26,53,64,66,11
5-22-18,16,17,21,36,48,9
5-25-18,11,14,51,64,68,25
5-29-18,2,11,55,58,67,2
6-1-18,5,24,52,62,66,17
6-5-18,22,33,41,48,52,4
6-8-18,14,30,33,44,56,13
6-12-18,1,3,5,8,70,3
6-15-18,1,11,37,47,51,6
6-19-18,11,13,28,65,70,14
6-22-18,2,6,11,27,44,20
6-26-18,17,25,29,39,60,19
6-29-18,2,32,47,49,68,23
7-3-18,13,35,45,49,68,23
7-6-18,2,10,46,50,56,16
7-10-18,1,17,28,56,70,14
7-13-18,21,22,39,59,68,2
7-17-18,40,41,61,66,67,12
7-20-18,1,14,30,44,62,1
7-24-18,1,2,4,19,29,20
7-27-18,1,32,40,49,63,20
7-31-18,12,15,35,64,69,9
8-3-18,9,28,30,54,60,2
8-7-18,2,13,15,21,62,2
8-10-18,1,3,12,22,42,6
8-14-18,11,26,44,45,46,11
8-17-18,1,31,32,47,56,3
8-21-18,14,16,19,38,57,11
8-24-18,1,6,13,18,49,8
8-28-18,3,20,33,34,41,20
8-31-18,7,18,29,32,45,17
9-4-18,2,7,25,35,44,3
9-7-18,8,10,41,54,68,10
9-11-18,15,30,51,62,67,19
9-14-18,23,30,40,43,66,13
9-18-18,31,32,43,63,68,17
9-21-18,1,2,11,52,64,9
9-25-18,8,16,32,48,61,12
9-28-18,39,45,52,56,59,15
10-2-18,2,22,29,31,34,1
10-5-18,27,28,32,41,69,12
10-9-18,20,22,39,54,60,18
10-12-18,4,24,46,61,70,7
10-16-18,3,45,49,61,69,9
10-19-18,15,23,53,65,70,7
10-23-18,5,28,62,65,70,5
10-26-18,1,28,61,62,63,5
10-30-18,20,31,39,46,49,23
11-2-18,3,23,28,46,62,16
11-6-18,28,34,37,56,69,12
11-9-18,8,14,27,57,67,5
11-13-18,34,46,57,65,69,11
11-16-18,33,36,63,68,69,16
11-20-18,10,16,31,42,66,10
11-23-18,7,10,30,33,59,23
11-27-18,12,24,37,42,57,18
11-30-18,25,28,40,43,63,19
12-4-18,28,31,41,42,50,4
12-7-18,4,10,20,33,57,13
12-11-18,4,38,39,54,59,12
12-14-18,5,22,26,43,49,23
12-18-18,13,22,32,60,69,9
12-21-18,10,13,61,62,70,5
12-25-18,2,8,42,43,50,6
12-28-18,9,10,25,37,38,21
1-1-19,34,44,57,62,70,14
1-4-19,21,29,35,54,60,15
1-8-19,13,26,29,38,64,5
1-11-19,4,5,31,62,69,20
1-15-19,29,52,58,60,62,7
1-18-19,2,43,48,62,64,24
1-22-19,4,15,37,59,64,16
1-25-19,8,16,30,38,61,10
1-29-19,10,33,53,54,62,22
2-1-19,2,37,48,66,68,11
2-5-19,3,34,36,59,66,7
2-8-19,14,24,31,42,48,13
2-12-19,15,32,39,50,65,7
2-15-19,10,38,40,43,65,12
2-19-19,17,24,34,56,65,3
2-22-19,18,24,31,34,55,4
2-26-19,10,12,14,24,60,20
3-1-19,29,33,39,60,66,21
3-5-19,15,20,32,37,52,6
3-8-19,4,9,42,62,68,7
3-12-19,10,12,16,49,57,18
3-15-19,3,29,56,62,64,4
3-19-19,10,42,53,67,68,15
3-22-19,7,36,58,60,62,10
3-26-19,4,14,22,43,58,9
3-29-19,5,14,15,62,66,3
4-2-19,33,47,58,59,64,25
4-5-19,8,22,24,38,64,21
4-9-19,11,22,34,44,58,9
4-12-19,1,24,25,40,70,4
4-16-19,11,29,34,48,54,10
4-19-19,18,25,43,44,57,25
4-23-19,7,24,30,48,67,9
4-26-19,9,17,23,30,46,10
4-30-19,24,37,41,61,70,20
5-3-19,8,16,22,66,68,11
5-7-19,3,6,34,54,63,19
5-10-19,3,16,21,61,62,19
5-14-19,11,59,66,67,68,18
5-17-19,5,17,28,32,63,11
5-21-19,10,50,55,56,58,15
5-24-19,14,41,44,56,62,10
5-28-19,9,21,34,42,50,21
5-31-19,7,8,26,65,67,4
6-4-19,25,37,46,48,68,25
6-7-19,17,19,27,40,68,2
6-11-19,20,34,39,43,57,13
6-14-19,19,40,47,57,65,6
6-18-19,12,14,22,24,48,21
6-21-19,13,30,36,48,62,18
6-25-19,24,33,45,47,61,17
6-28-19,2,35,49,53,63,1
7-2-19,3,25,37,40,55,13
7-5-19,6,38,47,57,63,12
7-9-19,12,26,40,48,64,1
7-12-19,8,25,38,56,59,7
7-16-19,8,16,31,48,52,23
7-19-19,16,18,28,33,67,14
7-23-19,1,4,23,40,45,11
7-26-19,4,6,11,43,48,11
7-30-19,10,24,28,33,38,6
8-2-19,11,20,26,48,70,19
8-6-19,11,17,31,43,55,16
8-9-19,15,53,56,59,63,1
8-13-19,7,27,31,34,51,5
8-16-19,4,14,24,26,46,14
8-20-19,8,14,25,51,63,4
8-23-19,11,15,37,54,68,21
8-27-19,8,12,23,39,43,6
8-30-19,3,9,11,34,39,10
9-3-19,13,20,27,61,62,5
9-6-19,4,11,13,19,31,10
9-10-19,34,47,48,50,55,24
9-13-19,6,16,37,59,62,5
9-17-19,12,15,30,50,65,1
9-20-19,23,24,42,48,53,22
9-24-19,6,14,24,42,46,9
9-27-19,12,20,31,43,45,20
10-1-19,10,17,39,42,59,3
10-4-19,11,38,44,48,70,17
10-8-19,5,8,10,17,48,23
10-11-19,14,22,30,37,60,8
10-15-19,4,12,14,35,70,2
10-18-19,18,58,60,65,67,20
10-22-19,5,11,14,23,25,10
10-25-19,16,24,25,52,60,6
10-29-19,4,9,17,27,39,22
11-1-19,9,20,36,41,54,22
11-5-19,2,9,24,49,54,19
11-8-19,3,4,10,39,58,14
11-12-19,19,30,44,56,65,24
11-15-19,12,19,34,35,68,20
11-19-19,22,43,44,47,66,22
11-22-19,7,12,17,49,53,24
11-26-19,8,27,29,38,43,13
11-29-19,6,8,31,50,65,9
12-3-19,23,43,60,63,69,19
12-6-19,20,31,40,46,61,20
12-10-19,18,31,46,54,61,25
12-13-19,17,21,29,39,56,22
12-17-19,22,30,53,55,56,16
12-20-19,3,20,23,35,60,16
12-24-19,27,37,48,63,66,11
12-27-19,17,34,40,63,64,24
12-31-19,30,44,49,53,56,11
1-3-20,37,41,42,53,63,16
1-7-20,25,40,41,52,56,21
1-10-20,17,27,49,51,66,2
1-14-20,9,11,13,31,47,11
1-17-20,3,25,30,54,70,9
1-21-20,16,18,29,31,37,8
1-24-20,3,4,18,23,38,24
1-28-20,17,36,47,51,62,21
1-31-20,28,31,33,57,62,19
2-4-20,32,48,50,51,64,10
2-7-20,9,14,27,36,52,4
2-11-20,4,6,32,52,64,6
2-14-20,10,32,48,54,55,18
2-18-20,6,12,39,61,70,4
2-21-20,4,7,13,16,60,6
2-25-20,2,9,43,49,63,15
2-28-20,2,3,14,41,64,17
3-3-20,8,12,33,56,64,2
3-6-20,15,48,56,58,70,4
3-10-20,6,17,48,54,69,12
3-13-20,7,22,37,43,44,22
3-17-20,20,27,28,58,59,25
3-20-20,34,35,41,45,54,5
3-24-20,2,8,16,18,31,14
3-27-20,3,25,28,50,60,1
3-31-20,8,17,51,57,70,2
4-3-20,24,38,44,57,58,17
4-7-20,25,33,43,51,68,20
4-10-20,2,11,21,57,60,13
4-14-20,29,47,65,69,70,7
4-17-20,13,35,39,46,55,14
4-21-20,13,15,24,67,70,17
4-24-20,1,27,32,60,67,18
4-28-20,13,19,53,54,63,17
5-1-20,28,30,31,35,66,14
5-5-20,7,13,17,21,45,14
5-8-20,5,20,22,61,70,4
5-12-20,7,16,27,44,52,5
5-15-20,11,17,32,33,46,25
5-19-20,8,19,25,36,66,9
5-22-20,8,10,20,44,46,18
5-26-20,34,52,58,59,62,4
5-29-20,10,13,32,41,51,3
6-2-20,9,20,23,26,29,8
6-5-20,32,35,37,47,55,22
6-9-20,1,5,9,10,23,22
6-12-20,9,14,57,67,70,2
6-16-20,21,23,33,35,42,6
6-19-20,11,34,36,52,66,7
6-23-20,6,20,37,40,48,15
6-26-20,19,33,37,56,57,6
6-30-20,9,16,29,37,53,11
7-3-20,20,40,44,45,50,24
7-7-20,16,20,25,30,43,18
7-10-20,10,15,20,49,53,22
7-14-20,6,26,55,56,64,22
7-17-20,12,13,21,46,57,21
7-21-20,14,25,26,41,43,15
7-24-20,8,33,39,54,58,17
7-28-20,17,20,27,31,34,19
7-31-20,12,35,46,48,69,23
8-4-20,2,22,30,42,62,20
8-7-20,4,44,53,64,70,3
8-11-20,8,22,29,43,56,9
8-14-20,3,24,29,42,47,13
8-18-20,4,18,26,27,58,23
8-21-20,11,15,31,42,63,14
8-25-20,8,10,15,17,57,12
8-28-20,3,9,50,53,64,1
9-1-20,15,25,26,38,47,22
9-4-20,19,22,24,28,53,25
9-8-20,7,10,15,31,57,21
9-11-20,3,15,42,48,56,13
9-15-20,25,28,38,59,62,22
9-18-20,26,29,41,52,64,11
9-22-20,36,43,44,55,68,12
9-25-20,20,36,37,48,67,16
9-29-20,14,39,43,44,67,19
10-2-20,9,38,47,49,68,25
10-6-20,15,16,18,39,59,17
10-9-20,5,11,25,27,64,13
10-13-20,11,44,45,46,70,25
10-16-20,27,32,50,52,57,12
10-20-20,46,54,57,58,66,10
10-23-20,18,34,44,60,69,22
10-27-20,6,13,34,46,62,1
10-30-20,14,19,34,39,59,11
11-3-20,7,31,44,45,55,19
11-6-20,18,24,27,34,60,2
11-10-20,23,45,53,58,62,13
11-13-20,6,7,14,28,59,7
11-17-20,8,13,35,46,68,16
11-20-20,26,33,45,61,68,17
11-24-20,9,15,34,61,64,6
11-27-20,4,10,27,35,58,10
12-1-20,7,33,53,61,65,14
12-4-20,3,19,24,44,50,8
12-8-20,15,19,33,39,68,25
12-11-20,19,31,37,55,67,25
12-15-20,1,10,18,20,46,15
12-18-20,7,15,25,51,60,5
12-22-20,29,53,56,59,67,21
12-25-20,17,23,36,69,70,19
12-29-20,1,31,35,48,62,19
1-1-21,8,24,53,68,69,7
1-5-21,20,43,51,55,57,4
1-8-21,3,6,16,18,58,11
1-12-21,12,14,26,28,33,9
1-15-21,3,11,12,38,43,15
1-19-21,10,19,26,28,50,16
1-22-21,4,26,42,50,60,24
1-26-21,29,49,56,66,67,24
1-29-21,4,44,58,59,70,3
2-2-21,13,37,38,40,67,10
2-5-21,14,17,28,29,44,2
2-9-21,7,18,21,31,40,9
2-12-21,5,14,24,25,27,14
2-16-21,1,36,44,54,66,10
2-19-21,27,32,47,50,53,4
2-23-21,5,7,9,20,57,15
2-26-21,11,15,37,62,64,5
3-2-21,4,8,13,34,64,18
3-5-21,10,11,17,27,54,20
3-9-21,4,33,46,58,65,13
3-12-21,2,24,25,31,65,18
3-16-21,10,41,46,52,69,8
3-19-21,9,14,40,58,69,8
3-23-21,12,23,35,38,55,11
3-26-21,4,25,37,46,67,15
3-30-21,11,37,47,53,56,15
4-2-21,10,42,48,53,62,19
4-6-21,1,19,20,32,42,17
4-9-21,22,26,27,58,66,12
4-13-21,10,15,19,45,68,9
4-16-21,17,27,28,50,55,25
4-20-21,6,23,43,49,52,5
4-23-21,4,28,29,30,60,25
4-27-21,15,22,30,41,42,25
4-30-21,8,19,26,48,49,5
5-4-21,4,27,32,57,63,22
5-7-21,5,10,19,21,50,10
5-11-21,7,8,20,36,39,22
5-14-21,3,18,41,44,68,3
5-18-21,3,5,56,61,66,4
5-21-21,6,9,17,18,48,8
5-25-21,14,21,31,34,54,11
5-28-21,10,14,20,47,70,15
6-1-21,7,11,33,58,63,23
6-4-21,4,30,34,41,64,8
6-8-21,9,22,39,41,54,19
6-11-21,4,43,56,63,68,13
6-15-21,18,22,27,38,52,11
6-18-21,14,36,44,46,53,18
6-22-21,1,26,48,51,59,25
6-25-21,17,20,42,45,65,12
6-29-21,7,38,50,52,69,21
7-2-21,8,31,32,34,45,19
7-6-21,18,47,63,68,69,14
7-9-21,6,37,39,41,46,17
7-13-21,3,10,17,26,55,24
7-16-21,24,25,47,52,57,24
7-20-21,10,26,30,52,57,10
7-23-21,13,17,19,40,69,17
7-27-21,2,35,36,54,64,11
7-30-21,19,26,31,52,68,10
8-3-21,1,9,17,27,34,24
8-6-21,9,18,40,46,69,9
8-10-21,29,45,50,59,62,12
8-13-21,17,21,35,40,53,11
8-17-21,3,6,16,38,56,24
8-20-21,41,43,51,57,70,1
8-24-21,17,18,26,52,67,19
8-27-21,1,10,44,47,56,23
8-31-21,8,14,31,58,68,15
9-3-21,7,10,12,61,65,3
9-7-21,15,17,25,32,53,12
9-10-21,20,32,35,47,64,18
9-14-21,4,13,19,63,64,16
9-17-21,17,32,40,59,61,18
9-21-21,36,41,45,51,56,13
9-24-21,17,21,27,43,56,15
9-28-21,18,30,43,68,69,22
10-1-21,21,25,36,62,63,6
10-5-21,7,11,18,30,36,4
10-8-21,21,24,36,40,70,22
10-12-21,21,26,56,61,65,4
10-15-21,3,20,31,34,65,18
10-19-21,3,12,13,19,52,1
10-22-21,9,14,26,29,66,22
10-26-21,6,14,19,56,62,9
10-29-21,15,26,28,35,45,4
11-2-21,5,10,26,58,65,9
11-5-21,10,15,20,66,68,18
11-9-21,9,14,16,26,49,14
11-12-21,30,32,42,46,48,15
11-16-21,6,22,44,53,65,3
11-19-21,5,23,52,53,59,18
11-23-21,7,24,54,57,58,6
11-26-21,7,27,37,42,59,2
11-30-21,7,8,26,30,39,17
12-3-21,22,45,48,58,61,13
12-7-21,1,7,40,43,68,1
12-10-21,23,25,40,42,60,8
12-14-21,33,35,44,55,69,20
12-17-21,21,32,38,48,62,10
12-21-21,25,31,58,64,67,24
12-24-21,16,17,25,36,37,16
12-28-21,3,5,8,31,38,4
12-31-21,2,5,30,46,61,8
1-4-22,4,6,16,21,22,1
1-7-22,7,29,43,56,57,6
1-11-22,2,3,19,52,58,16
1-14-22,5,8,13,22,48,25
1-18-22,4,19,39,42,52,9
1-21-22,38,45,46,55,67,18
1-25-22,3,12,38,53,58,13
1-28-22,3,16,25,44,55,13
2-1-22,11,24,38,62,66,1
2-4-22,7,16,34,44,61,24
2-8-22,1,17,20,52,54,2
2-11-22,11,16,23,24,30,24
2-15-22,2,4,15,21,63,19
2-18-22,6,11,50,63,68,17
2-22-22,6,17,22,57,62,3
2-25-22,15,31,40,56,66,4
3-1-22,18,22,38,39,50,18
3-4-22,11,19,28,46,47,5
3-8-22,7,18,38,58,64,24
3-11-22,24,28,39,44,66,25
3-15-22,9,14,28,59,60,24
3-18-22,2,6,25,40,45,5
3-22-22,8,15,21,27,61,8
3-25-22,3,13,42,51,58,17
3-29-22,7,22,36,45,47,12
4-1-22,26,42,47,48,63,21
4-5-22,22,43,60,63,64,18
4-8-22,8,11,29,32,40,2
4-12-22,2,8,14,20,31,17
4-15-22,4,17,20,46,64,23
4-19-22,2,9,33,47,53,24
4-22-22,7,28,29,58,59,10
4-26-22,5,7,19,46,69,2
4-29-22,9,11,34,49,66,15
5-3-22,15,19,27,35,57,17
5-6-22,16,21,33,52,70,10
5-10-22,15,19,20,61,70,6
5-13-22,11,41,43,44,65,13
5-17-22,7,21,24,41,65,24
5-20-22,33,40,59,60,69,22
5-24-22,3,5,6,63,68,25
5-27-22,3,14,40,53,54,8
5-31-22,6,15,41,63,64,24
6-3-22,11,16,22,48,59,11
6-7-22,4,34,40,41,53,3
6-10-22,3,12,14,18,32,4
6-14-22,30,37,38,42,58,22
6-17-22,20,36,53,56,69,16
6-21-22,8,13,18,32,42,20
6-24-22,1,7,11,25,56,14
6-28-22,7,12,21,43,55,11
7-1-22,1,27,29,38,62,12
7-5-22,27,31,50,51,61,21
7-8-22,20,36,61,62,69,20
7-12-22,4,7,10,45,64,12
7-15-22,8,20,26,53,64,15
7-19-22,2,31,32,37,70,25
7-22-22,14,40,60,64,66,16
7-26-22,7,29,60,63,66,15
7-29-22,13,36,45,57,67,14
8-2-22,10,14,25,37,63,14
8-5-22,2,5,29,64,69,18
8-9-22,1,8,10,25,32,13
8-12-22,23,24,50,54,64,3
8-16-22,33,35,41,45,51,1
8-19-22,12,18,24,46,65,3
8-23-22,3,5,47,48,67,7
8-26-22,6,27,30,38,64,23
8-30-22,2,38,55,57,65,17
9-2-22,39,40,52,60,67,20
9-6-22,6,17,46,59,68,2
9-9-22,16,21,54,55,69,22
9-13-22,14,25,38,59,64,21
9-16-22,15,30,35,38,66,12
9-20-22,9,21,28,30,52,10
9-23-22,5,50,53,58,64,22
9-27-22,8,14,24,43,51,9
9-30-22,16,26,37,40,51,6
10-4-22,15,18,25,33,38,25
10-7-22,6,11,29,36,55,21
10-11-22,3,7,11,13,38,1
10-14-22,9,22,26,41,44,19
10-18-22,1,15,20,44,67,23
10-21-22,34,36,43,45,68,22
10-25-22,21,30,35,45,66,21
10-28-22,4,18,31,53,69,7
11-1-22,5,9,15,16,17,25
11-4-22,2,20,47,55,59,19
11-8-22,5,13,29,38,59,23
11-11-22,1,5,17,37,70,22
11-15-22,6,19,28,46,61,18
11-18-22,2,14,16,38,66,9
11-22-22,13,23,24,25,43,2
11-25-22,29,31,46,54,67,18
11-29-22,20,23,37,46,52,6
12-2-22,1,21,36,46,52,16
12-6-22,15,16,19,28,47,13
12-9-22,8,19,53,61,69,19
12-13-22,14,22,48,58,68,6
12-16-22,8,35,40,53,56,11
12-20-22,3,4,33,36,52,17
12-23-22,15,21,32,38,62,8
12-27-22,9,13,36,59,61,11
12-30-22,1,3,6,44,51,7
1-3-23,25,29,33,41,44,18
1-6-23,3,20,46,59,63,13
1-10-23,7,13,14,15,18,9
1-13-23,30,43,45,46,61,14
1-17-23,2,12,18,24,39,18
1-20-23,20,29,31,64,66,17
1-24-23,33,41,47,50,62,20
1-27-23,4,43,46,47,61,22
1-31-23,7,9,18,29,39,13
2-3-23,1,4,50,54,59,17
2-7-23,9,15,46,55,57,4
2-10-23,20,29,30,52,58,19
2-14-23,23,24,35,40,43,1
2-17-23,2,33,38,57,70,13
2-21-23,2,15,30,36,63,24
2-24-23,2,22,49,65,67,7
2-28-23,14,16,40,52,59,13
3-3-23,8,25,36,39,67,11
3-7-23,15,22,25,28,69,21
3-10-23,9,20,59,60,63,5
3-14-23,1,7,23,38,55,2
3-17-23,26,28,29,39,49,25
3-21-23,1,21,25,27,40,11
3-24-23,14,17,33,42,66,15
3-28-23,2,3,18,32,68,24
3-31-23,16,26,27,42,61,23
4-4-23,1,37,45,62,64,4
4-7-23,12,32,49,51,66,21
4-11-23,31,35,53,54,55,24
4-14-23,23,27,41,48,51,22
4-18-23,7,9,15,19,25,4
4-21-23,3,21,29,46,63,9
4-25-23,8,29,46,47,48,12
4-28-23,18,38,53,62,64,20
5-2-23,3,15,16,32,41,9
5-5-23,16,18,28,42,43,11
5-9-23,4,37,46,48,51,19
5-12-23,1,2,23,40,45,15
5-16-23,15,34,36,69,70,17
5-19-23,5,11,41,44,55,14
5-23-23,3,10,22,65,66,19
5-26-23,12,20,37,41,64,1
5-30-23,13,16,40,64,68,21
6-2-23,3,16,19,36,60,25
6-6-23,6,12,23,29,57,4
6-9-23,3,19,53,60,68,13
6-13-23,8,10,19,44,47,4
6-16-23,4,24,34,45,57,19
6-20-23,6,37,39,45,46,21
6-23-23,13,62,65,67,69,14
6-27-23,8,34,35,41,52,12
6-30-23,13,22,47,51,55,9
7-4-23,21,33,54,61,67,12
7-7-23,8,10,17,55,66,3
7-11-23,10,17,33,51,64,5
7-14-23,10,24,48,51,66,15
7-18-23,19,22,31,37,54,18
7-21-23,29,40,47,50,57,25
7-25-23,3,5,6,44,61,25
7-28-23,5,10,28,52,63,18